age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
2,5,77516,3,0,8,3,0,1,1,0,1,0,0
3,3,83311,3,1,4,2,0,1,0,0,0,0,0
2,7,215646,1,2,6,3,0,1,0,0,1,0,0
4,7,234721,0,1,6,2,4,1,0,0,1,0,0
1,7,338409,3,1,5,0,4,0,0,0,1,1,0
2,7,284582,4,1,4,0,0,0,0,0,1,0,0
3,7,160187,0,2,2,3,4,0,0,0,0,1,0
4,3,209642,1,1,4,2,0,1,0,0,2,0,1
2,7,45781,4,0,5,3,0,0,1,0,2,0,1
3,7,159449,3,1,4,2,0,1,1,0,1,0,1
2,7,280464,2,1,4,2,4,1,0,0,3,0,1
1,5,141297,3,1,5,2,1,1,0,0,1,1,1
1,7,122272,3,0,8,1,0,0,0,0,1,0,0
2,7,205019,2,0,3,3,4,1,0,0,2,0,0
2,7,121772,2,1,1,2,1,1,0,0,1,0,1
2,7,245487,0,1,10,2,2,1,0,0,2,1,0
1,3,176756,1,0,9,1,0,1,0,0,1,0,0
2,7,186824,1,0,7,5,0,1,0,0,1,0,0
2,7,28887,0,1,3,2,0,1,0,0,2,0,0
3,3,292175,4,2,4,5,0,0,0,0,2,0,1
2,7,193524,4,1,5,2,0,1,0,0,2,0,1
4,7,302146,1,2,2,5,4,0,0,0,0,0,0
2,4,76845,0,1,9,2,4,1,0,0,1,0,0
3,7,117037,0,1,10,2,0,1,0,1,1,0,0
4,7,109015,1,2,0,5,0,0,0,0,1,0,0
4,6,216851,3,1,0,2,0,1,0,0,1,0,1
0,7,168294,1,0,1,1,0,1,0,0,1,0,0
4,7,180211,2,1,5,2,1,1,0,0,2,1,1
2,7,367260,1,2,4,3,0,1,0,0,3,0,0
3,7,193366,1,1,1,2,0,1,0,0,1,0,0
1,6,190709,2,0,12,3,0,1,0,0,2,0,0
0,7,266015,2,0,3,1,4,1,0,0,2,0,0
3,7,386940,3,2,4,1,0,1,0,1,1,0,0
1,4,59951,2,1,8,1,0,1,0,0,1,0,0
1,5,311512,2,1,2,2,4,1,0,0,0,0,0
3,7,242406,0,0,7,5,0,1,0,0,1,1,0
1,7,197200,2,0,7,1,0,1,0,0,1,0,0
0,7,544091,1,1,8,0,0,0,0,0,1,0,0
2,7,84154,2,1,3,2,0,1,0,0,1,0,1
